ticket_id,created_at,resolved_at,resolution_hours,description
TICK-03479,3/1/24 6:05,48:43.2,11.728679093210408,"""I am having trouble logging into my account with my usual password. I've tried resetting it multiple times but still can't get in. It's really frustrating because I need to access some files for a time-sensitive project. Can someone please help me out with this login issue?"""
TICK-00930,3/1/24 6:43,23:58.4,11.682887745474176,"Hi, I'm having trouble upgrading my current plan to a higher tier. I keep getting an error message when I try to complete the upgrade process. Can you please help me resolve this issue? Thank you!"
TICK-00025,3/1/24 10:30,03:08.8,2.552455251816597,"""I'm encountering errors when trying to integrate our system with a third-party application. I've followed the integration instructions, but I keep getting a 'connection refused' message. Can you please assist in troubleshooting this issue and getting the integration up and running smoothly?"""
TICK-01446,3/1/24 11:44,34:18.5,19.838482433751047,"""I'm having trouble logging into my account and keep receiving an error message when entering my password. I've tried resetting my password multiple times but still can't access my account. Can someone please help me unlock my account or troubleshoot this issue?"""
TICK-04717,3/1/24 12:15,57:54.3,18.71507383686114,"""I'm having trouble figuring out how to schedule recurring tasks in the app. I've tried following the instructions in the help section, but it's not working as expected. Can someone walk me through the process step by step? Thanks!"""
TICK-04846,3/1/24 12:31,15:27.0,13.740829984746698,"""I recently upgraded my subscription plan, but I noticed that I was charged for both the old and new plan this month. Can you please confirm why this happened and help me get the extra charge refunded?""
"
TICK-04064,3/1/24 12:40,29:06.8,18.818561422664484,"""I've been trying to log into my account, but I keep getting an error message saying my password is incorrect. I've tried resetting it multiple times but still can't access my account. Can someone help me figure out what's going on?"""
TICK-01329,3/1/24 13:40,48:02.5,9.134016634743213,"""Hello, I've been experiencing really slow loading times on the website, especially when I try to navigate between different pages. It's been happening for the past few days and it's really affecting my productivity. Can you please look into this and let me know what might be causing the issue?"""
TICK-04552,3/1/24 14:18,11:50.3,21.89731330916605,"""I was charged the wrong amount for my subscription and I would like to dispute the charges. I have been trying to upgrade my plan to include more features, but the payment keeps failing. Can someone help me resolve these billing issues?"""
TICK-02507,3/1/24 14:25,56:28.1,6.524479540929653,"Ticket: 

""I have been experiencing some difficulty accessing certain parts of the website, particularly when trying to view my account details. It seems to be taking longer than usual to load those pages. Is there anything that can be done to resolve this issue? Thank you for your help."""
TICK-04710,3/1/24 14:31,38:25.8,2.1238255491982523,"""Hi, I've been experiencing really slow loading times when trying to access the dashboard and it's making it difficult for me to work efficiently. It's been happening consistently for the past few days, and I've already tried clearing my cache and using a different browser, but it hasn't improved. Can you please look into this and help me resolve the issue? Thank you."""
TICK-04787,3/1/24 14:39,22:35.3,17.72646360544861,"""I recently upgraded my subscription plan but noticed that I'm still being charged at the old rate. I would like to dispute the charge and ensure that I'm being billed correctly for the upgraded plan. Can someone please help me resolve this issue as soon as possible?"""
TICK-02468,3/1/24 15:54,40:05.6,0.7682178019567567,"""I'm having trouble figuring out how to schedule recurring tasks in the app. Is there a guide or tutorial that can walk me through the process? I've tried a few different methods but I can't seem to get it right."""
TICK-01500,3/1/24 16:32,18:59.0,0.7830593640532386,"""I upgraded my subscription plan last week, but I'm still seeing the features from my old plan. Can you please update my account to reflect the changes? I also received a payment failure notification, even though my payment information is up to date. Can you help me resolve this issue?"""
TICK-02302,3/1/24 20:35,23:47.6,32.81322815316095,"""I'm having trouble accessing my recent order history on the website. I keep getting an error message when I try to view it. Can you please help me figure out what's going on? I need to access this information for my records. Thank you."""
TICK-04665,3/1/24 21:51,45:58.8,4.916334924055239,"""I'm having trouble setting up the integration between our CRM and the new email marketing platform. I keep getting error messages when trying to connect the two systems, and I'm not sure what I'm doing wrong. Can you please provide some guidance on how to resolve this issue?"""
TICK-00593,3/2/24 1:03,48:09.7,12.752703465314035,"""I'm having trouble figuring out how to use the collaboration feature on the platform. I'm not sure how to invite team members to join a project and work together. Can you provide a step-by-step guide on how to use this feature effectively?"""
TICK-01983,3/2/24 7:08,27:52.8,14.331344164891979,"""I've been experiencing extremely slow loading times when trying to access my account dashboard. It's taking a lot longer than usual for the pages to load, and it's becoming quite frustrating. Can you please look into this issue and help me improve the speed of my account access?"""
