ticket_id,created_at,resolved_at,category,resolution_hours,description
TICK-03479,2024-03-01 06:05:00,2024-03-01 17:48:43.244736,Authentication/Login,11.728679093210408,"""I am having trouble logging into my account with my usual password. I've tried resetting it multiple times but still can't get in. It's really frustrating because I need to access some files for a time-sensitive project. Can someone please help me out with this login issue?"""
TICK-00930,2024-03-01 06:43:00,2024-03-01 18:23:58.395884,Billing/Subscription,11.682887745474176,"Hi, I'm having trouble upgrading my current plan to a higher tier. I keep getting an error message when I try to complete the upgrade process. Can you please help me resolve this issue? Thank you!"
TICK-00025,2024-03-01 10:30:00,2024-03-01 13:03:08.838907,Integration/API,2.552455251816597,"""I'm encountering errors when trying to integrate our system with a third-party application. I've followed the integration instructions, but I keep getting a 'connection refused' message. Can you please assist in troubleshooting this issue and getting the integration up and running smoothly?"""
TICK-01446,2024-03-01 11:44:00,2024-03-02 07:34:18.536762,Authentication/Login,19.838482433751047,"""I'm having trouble logging into my account and keep receiving an error message when entering my password. I've tried resetting my password multiple times but still can't access my account. Can someone please help me unlock my account or troubleshoot this issue?"""
TICK-04717,2024-03-01 12:15:00,2024-03-02 06:57:54.265813,Feature Usage,18.71507383686114,"""I'm having trouble figuring out how to schedule recurring tasks in the app. I've tried following the instructions in the help section, but it's not working as expected. Can someone walk me through the process step by step? Thanks!"""
TICK-04846,2024-03-01 12:31:00,2024-03-02 02:15:26.987945,Billing/Subscription,13.740829984746698,"""I recently upgraded my subscription plan, but I noticed that I was charged for both the old and new plan this month. Can you please confirm why this happened and help me get the extra charge refunded?""
"
TICK-04064,2024-03-01 12:40:00,2024-03-02 07:29:06.821122,Authentication/Login,18.818561422664484,"""I've been trying to log into my account, but I keep getting an error message saying my password is incorrect. I've tried resetting it multiple times but still can't access my account. Can someone help me figure out what's going on?"""
TICK-01329,2024-03-01 13:40:00,2024-03-01 22:48:02.459885,Performance/Speed,9.134016634743213,"""Hello, I've been experiencing really slow loading times on the website, especially when I try to navigate between different pages. It's been happening for the past few days and it's really affecting my productivity. Can you please look into this and let me know what might be causing the issue?"""
TICK-04552,2024-03-01 14:18:00,2024-03-02 12:11:50.327913,Billing/Subscription,21.89731330916605,"""I was charged the wrong amount for my subscription and I would like to dispute the charges. I have been trying to upgrade my plan to include more features, but the payment keeps failing. Can someone help me resolve these billing issues?"""
TICK-02507,2024-03-01 14:25:00,2024-03-01 20:56:28.126347,Miscellaneous,6.524479540929653,"Ticket: 

""I have been experiencing some difficulty accessing certain parts of the website, particularly when trying to view my account details. It seems to be taking longer than usual to load those pages. Is there anything that can be done to resolve this issue? Thank you for your help."""
